ensgene,group
ENSG00000119139,junc
ENSG00000104067,junc
ENSG00000105289,junc
ENSG00000137221,junc
ENSG00000039068,junc
ENSG00000197822,junc
ENSG00000128849,junc
ENSG00000143375,junc
ENSG00000125755,junc
ENSG00000168036,junc
ENSG00000160633,junc
ENSG00000233276,ox
ENSG00000164294,ox
ENSG00000099194,ox
ENSG00000140961,ox
ENSG00000132823,ox
ENSG00000172939,ox
ENSG00000166135,ox
ENSG00000100644,ox
ENSG00000124440,ox
ENSG00000164733,ox
ENSG00000165672,ox
ENSG0000011670,ox
ENSG00000181019,ox
ENSG00000196408,ox
ENSG00000116288,ox
ENSG00000100292,ox
ENSG00000103415,ox
ENSG00000116044,ox
ENSG00000178607,er
ENSG00000088298,er
ENSG00000134109,er
ENSG00000116406,er
ENSG00000198668,er
ENSG00000213676,er
ENSG00000118217,er
ENSG00000178607,er
ENSG00000172071,er
ENSG00000072310,er
ENSG00000127022,er
ENSG00000101255,er
ENSG00000175197,er
ENSG00000120742,er
ENSG00000168439,er
ENSG00000134333,death
ENSG00000035664,death
ENSG00000167657,death
ENSG00000002330,death
ENSG00000170248,death
ENSG00000071994,death
ENSG00000148843,death
ENSG00000090470,death
ENSG00000126249,death
ENSG00000249915,death
ENSG00000150593,death
ENSG00000026103,death
ENSG0000010287,death
ENSG00000112977,death
ENSG00000129562,death
ENSG00000132676,death
ENSG00000136305,death
ENSG00000187288,death
ENSG00000089486,death
ENSG00000177595,death
ENSG00000160570,death
ENSG00000160712,cyto
ENSG00000164761,cyto
ENSG00000175104,cyto
ENSG00000104689,cyto
ENSG00000115594,cyto
ENSG00000056736,cyto
ENSG00000177663,cyto
ENSG00000115604,cyto
ENSG00000181085,cyto
ENSG00000130758,cyto
ENSG00000126934,cyto
ENSG00000198909,cyto
ENSG00000166484,cyto
ENSG00000123610,cyto
ENSG00000118503,cyto
ENSG00000145779,cyto
ENSG00000109079,cyto
ENSG00000100906,cyto
ENSG00000174125,cyto
ENSG00000239732,cyto
ENSG00000136869,cyto
ENSG00000187554,cyto
ENSG00000137462,cyto
ENSG00000164342,cyto
ENSG00000243646,cyto
ENSG00000110324,cyto
ENSG00000185499,mucin
ENSG00000145113,mucin
ENSG00000169894,mucin
ENSG00000173702,mucin
ENSG00000184956,mucin
ENSG00000215182,mucin
ENSG00000117983,mucin
ENSG00000163735,chemo
ENSG00000081041,chemo
ENSG00000163734,chemo
ENSG00000169245,chemo
ENSG00000156234,chemo
ENSG00000124875,chemo
ENSG00000161921,chemo
ENSG00000169248,chemo
ENSG00000169429,chemo
ENSG00000145824,chemo
ENSG00000163739,chemo
ENSG00000189377,chemo
