general-projectname	general-readlength	general-readlengthr2	general-runname	general-samplename	subsample-rawreads	subsample-subsampledreads	fastqc-meanreadqualityR1	fastqc-meanreadqualityR2	fastqc-pct-adapter	fastqc-pct-deduplicated	fastqc-pct-dimer	fastqc-pct-gc	fastqc-sequencelength	fastqc-totalsequences	insert-meanfragmentsize	insert-stdevfragmentsize	hisat2alignmentplot-concordant	hisat2alignmentplot-pct_aligned	hisat2alignmentplot-pct_concordant	hisat2alignmentplot-totalreads	rrna-pct_rrna	subread-abundancereads	subread-expressedgenes	subreadplot-pct_ambiguous	subreadplot-pct_assigned	subreadplot-pct_mappingquality	subreadplot-pct_multimapped	subreadplot-pct_nofeature	subreadplot-pct_unmapped
Hunter_Project_027	151	151	200226_A00223_0330_BH2WT2DSXY	Sample.Aerobic.005.A01	24557588	100000	35.9	35.6	1.03	89.85	0.00	50	151	100000	169.845993	30.056284	74114	82.38	74.11	100000	3.66	77447.0	9997	3.6623636284609	67.3247272569218	0	17.2999521884644	2.15238840352936	9.56056852262355
Hunter_Project_027	151	151	200226_A00223_0330_BH2WT2DSXY	Sample.Aerobic.005.A02	31207884	100000	36.0	35.2	0.94	90.78	0.00	50	151	100000	168.663136	27.579381	72867	81.43	72.87	100000	2.92	76577.0	10043	3.31845947233895	66.3492613611749	0	17.1277563574925	2.26400381232942	10.9405189966642
Hunter_Project_027	151	151	200226_A00223_0330_BH2WT2DSXY	Sample.Aerobic.005.A03	25802689	100000	36.0	35.6	1.00	90.03	0.00	50	151	100000	172.66161	36.573795	75482	83.72	75.48	100000	2.72	78810.0	10002	3.8657471428444	70.3114544951689	0	14.7082177237325	1.99041815732422	9.12416248092999
Hunter_Project_027	151	151	200226_A00223_0330_BH2WT2DSXY	Sample.Aerobic.006.A01	28427058	100000	35.9	35.6	0.94	84.78	0.00	50	151	100000	167.993124	24.798771	69407	76.68	69.41	100000	5.50	71920.0	9352	3.51616250912865	55.2869277779913	0	29.1593957796825	1.3206749433063	10.7168389898912
Hunter_Project_027	151	151	200226_A00223_0330_BH2WT2DSXY	Sample.Aerobic.006.A02	27791914	100000	35.9	35.7	0.92	89.04	0.00	50	151	100000	172.901863	36.664888	72513	80.02	72.51	100000	4.22	75225.0	9699	3.37301587301587	61.931930448528	0	22.8281630771257	1.71738128169663	10.1495093196338
Hunter_Project_027	151	151	200226_A00223_0330_BH2WT2DSXY	Sample.Anaerobic	26941491	100000	35.9	35.5	0.97	91.50	0.00	51	151	100000	170.25835	30.958149	74308	82.65	74.31	100000	4.60	76357.0	9865	3.06421871241882	61.21783051391	0	25.0485047703039	3.20291830353564	7.46652769983164
Hunter_Project_027	151	151	200226_A00223_0330_BH2WT2DSXY	Sample.Anaerobic.006.A03	27883463	100000	36.0	35.4	0.90	86.78	0.00	51	151	100000	169.390008	28.515323	70446	78.20	70.45	100000	7.00	72886.0	9161	2.58292934575212	51.5073565785196	0	36.1002360323944	2.2218139160177	7.58766412731616
Hunter_Project_027	151	151	200226_A00223_0330_BH2WT2DSXY	Sample.Anaerobic.006.A04	28725226	100000	35.9	35.6	0.94	91.17	0.00	51	151	100000	168.564321	27.18766	76883	85.24	76.88	100000	3.60	79909.0	9685	3.63095539039722	67.3348837993158	0	20.4172775839695	2.15295683974586	6.46392638657162
Hunter_Project_027	151	151	200226_A00223_0330_BH2WT2DSXY	Sample.Anaerobic.006.A05	31369992	100000	36.0	35.5	0.94	90.00	0.00	51	151	100000	169.171462	28.294036	75685	83.75	75.69	100000	4.43	79054.0	9593	3.47943558019424	65.1191525465613	0	22.598209210949	1.72406691982636	7.07913574246905
Hunter_Project_027	151	151	200226_A00223_0330_BH2WT2DSXY	Sample.Anaerobic.006.A06	28977475	100000	36.0	35.4	1.03	89.35	0.00	50	151	100000	168.538582	26.565493	74124	82.61	74.12	100000	4.44	77383.0	9771	3.54244450826735	63.4989537603085	0	22.8744922660321	2.14663767283469	7.93747179255734
