SAMPLE_NAME,ATMOSPHERE,CRS,GROUP,QCWELL,TEST,gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,entrez,symbol,chr,start,end,strand,biotype,description,normalized_counts
Sample.Aerobic.005.A01,aerobic,none,group_5,A01,aerobic,ENSG00000134333,219.41271216008184,1.0135357923342785,0.18468137042070024,4.124767693566199e-9,5.06699403925338e-7,3939,LDHA,11,18394388,18408425,1,protein_coding,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535],126.9252190672214
Sample.Aerobic.005.A02,aerobic,none,group_5,A02,aerobic,ENSG00000134333,219.41271216008184,1.0135357923342785,0.18468137042070024,4.124767693566199e-9,5.06699403925338e-7,3939,LDHA,11,18394388,18408425,1,protein_coding,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535],84.46453565341237
Sample.Aerobic.005.A03,aerobic,none,group_5,A03,aerobic,ENSG00000134333,219.41271216008184,1.0135357923342785,0.18468137042070024,4.124767693566199e-9,5.06699403925338e-7,3939,LDHA,11,18394388,18408425,1,protein_coding,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535],110.4780981188114
Sample.Aerobic.006.A01,aerobic,none,group_6,A01,aerobic,ENSG00000134333,219.41271216008184,1.0135357923342785,0.18468137042070024,4.124767693566199e-9,5.06699403925338e-7,3939,LDHA,11,18394388,18408425,1,protein_coding,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535],178.7708993254288
Sample.Aerobic.006.A02,aerobic,none,group_6,A02,aerobic,ENSG00000134333,219.41271216008184,1.0135357923342785,0.18468137042070024,4.124767693566199e-9,5.06699403925338e-7,3939,LDHA,11,18394388,18408425,1,protein_coding,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535],160.03739552044144
Sample.Anaerobic,anaerobic,unknown,unknown,unknown,anaerobic,ENSG00000134333,219.41271216008184,1.0135357923342785,0.18468137042070024,4.124767693566199e-9,5.06699403925338e-7,3939,LDHA,11,18394388,18408425,1,protein_coding,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535],215.44589454421114
Sample.Anaerobic.006.A03,anaerobic,none,group_6,A03,anaerobic,ENSG00000134333,219.41271216008184,1.0135357923342785,0.18468137042070024,4.124767693566199e-9,5.06699403925338e-7,3939,LDHA,11,18394388,18408425,1,protein_coding,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535],292.59837354464776
Sample.Anaerobic.006.A04,anaerobic,none,group_6,A04,anaerobic,ENSG00000134333,219.41271216008184,1.0135357923342785,0.18468137042070024,4.124767693566199e-9,5.06699403925338e-7,3939,LDHA,11,18394388,18408425,1,protein_coding,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535],326.2828803334509
Sample.Anaerobic.006.A05,anaerobic,none,group_6,A05,anaerobic,ENSG00000134333,219.41271216008184,1.0135357923342785,0.18468137042070024,4.124767693566199e-9,5.06699403925338e-7,3939,LDHA,11,18394388,18408425,1,protein_coding,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535],332.9011283075324
Sample.Anaerobic.006.A06,anaerobic,none,group_6,A06,anaerobic,ENSG00000134333,219.41271216008184,1.0135357923342785,0.18468137042070024,4.124767693566199e-9,5.06699403925338e-7,3939,LDHA,11,18394388,18408425,1,protein_coding,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535],267.40195294124413
Sample.Anaerobic.006.A07,anaerobic,none,group_6,A07,anaerobic,ENSG00000134333,219.41271216008184,1.0135357923342785,0.18468137042070024,4.124767693566199e-9,5.06699403925338e-7,3939,LDHA,11,18394388,18408425,1,protein_coding,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535],267.2546246318946
