SAMPLE_NAME,ATMOSPHERE,CRS,GROUP,QCWELL,TEST,gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,entrez,symbol,chr,start,end,strand,biotype,description,normalized_counts
Sample.Anaerobic,anaerobic,unknown,unknown,unknown,anaerobic,ENSG00000215182,35.71748275775943,0.0029160439162277288,0.07212237869908714,0.8449305144302888,1,4586,MUC5AC,11,1157953,1201138,1,protein_coding,"mucin 5AC, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7515]",50.856327038333106
Sample.Anaerobic,anaerobic,unknown,unknown,unknown,anaerobic,ENSG00000117983,58.003020286071155,-0.016965034999697266,0.08103635173706407,0.3020776383194302,1,727897,MUC5B,11,1223066,1262172,1,protein_coding,"mucin 5B, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7516]",61.95225293760578
Sample.Anaerobic,anaerobic,unknown,unknown,unknown,anaerobic,ENSG00000185499,33.703226159140456,-0.01620083984689764,0.0795980860484688,0.3166756628749584,1,4582,MUC1,1,155185824,155192916,-1,protein_coding,"mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]",24.965833273363522
Sample.Anaerobic,anaerobic,unknown,unknown,unknown,anaerobic,ENSG00000145113,0.058024211196854726,0,0.1388642709054112,1,1,4585,MUC4,3,195746765,195812277,-1,protein_coding,"mucin 4, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7514]",0
Sample.Anaerobic,anaerobic,unknown,unknown,unknown,anaerobic,ENSG00000169894,5.1107095262891695,0.013827997691520206,0.11080044481772344,0.4294010692767554,1,4584,MUC3A,7,100949555,100968346,1,protein_coding,"mucin 3A, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7513]",3.698641966424226
Sample.Anaerobic,anaerobic,unknown,unknown,unknown,anaerobic,ENSG00000173702,20.6081882336207,0.017967377403770725,0.09443542014135763,0.32626237994219776,1,56667,MUC13,3,124905442,124953819,-1,protein_coding,"mucin 13, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7511]",15.71922835730296
Sample.Anaerobic,anaerobic,unknown,unknown,unknown,anaerobic,ENSG00000184956,0.12009869861958711,1.7665674327263457e-4,0.13809485770616245,0.9759773130402215,1,4588,MUC6,11,1012821,1036706,-1,protein_coding,"mucin 6, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7517]",0
Sample.Anaerobic.006.A03,anaerobic,none,group_6,A03,anaerobic,ENSG00000215182,35.71748275775943,0.0029160439162277288,0.07212237869908714,0.8449305144302888,1,4586,MUC5AC,11,1157953,1201138,1,protein_coding,"mucin 5AC, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7515]",51.313893867904646
Sample.Anaerobic.006.A03,anaerobic,none,group_6,A03,anaerobic,ENSG00000117983,58.003020286071155,-0.016965034999697266,0.08103635173706407,0.3020776383194302,1,727897,MUC5B,11,1223066,1262172,1,protein_coding,"mucin 5B, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7516]",77.5167332898134
Sample.Anaerobic.006.A03,anaerobic,none,group_6,A03,anaerobic,ENSG00000185499,33.703226159140456,-0.01620083984689764,0.0795980860484688,0.3166756628749584,1,4582,MUC1,1,155185824,155192916,-1,protein_coding,"mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]",26.202839421908752
