SAMPLE_NAME,ATMOSPHERE,CRS,GROUP,QCWELL,TEST,gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,entrez,symbol,chr,start,end,strand,biotype,description,normalized_counts
Sample.Aerobic.005.A01,aerobic,none,group_5,A01,aerobic,ENSG00000100644,20.060689683581558,-0.30353401474125724,0.2654236362221593,0.1347997098219587,0.36975489581198395,3091,HIF1A,14,61695513,61748259,1,protein_coding,hypoxia inducible factor 1 alpha subunit [Source:HGNC Symbol;Acc:HGNC:4910],22.56448338972825
Sample.Aerobic.005.A02,aerobic,none,group_5,A02,aerobic,ENSG00000100644,20.060689683581558,-0.30353401474125724,0.2654236362221593,0.1347997098219587,0.36975489581198395,3091,HIF1A,14,61695513,61748259,1,protein_coding,hypoxia inducible factor 1 alpha subunit [Source:HGNC Symbol;Acc:HGNC:4910],37.012549331270584
Sample.Aerobic.005.A03,aerobic,none,group_5,A03,aerobic,ENSG00000100644,20.060689683581558,-0.30353401474125724,0.2654236362221593,0.1347997098219587,0.36975489581198395,3091,HIF1A,14,61695513,61748259,1,protein_coding,hypoxia inducible factor 1 alpha subunit [Source:HGNC Symbol;Acc:HGNC:4910],23.20968447874189
Sample.Aerobic.006.A01,aerobic,none,group_6,A01,aerobic,ENSG00000100644,20.060689683581558,-0.30353401474125724,0.2654236362221593,0.1347997098219587,0.36975489581198395,3091,HIF1A,14,61695513,61748259,1,protein_coding,hypoxia inducible factor 1 alpha subunit [Source:HGNC Symbol;Acc:HGNC:4910],9.577012463862257
Sample.Aerobic.006.A02,aerobic,none,group_6,A02,aerobic,ENSG00000100644,20.060689683581558,-0.30353401474125724,0.2654236362221593,0.1347997098219587,0.36975489581198395,3091,HIF1A,14,61695513,61748259,1,protein_coding,hypoxia inducible factor 1 alpha subunit [Source:HGNC Symbol;Acc:HGNC:4910],27.46203828457279
Sample.Anaerobic,anaerobic,unknown,unknown,unknown,anaerobic,ENSG00000100644,20.060689683581558,-0.30353401474125724,0.2654236362221593,0.1347997098219587,0.36975489581198395,3091,HIF1A,14,61695513,61748259,1,protein_coding,hypoxia inducible factor 1 alpha subunit [Source:HGNC Symbol;Acc:HGNC:4910],19.417870323727186
Sample.Anaerobic.006.A03,anaerobic,none,group_6,A03,anaerobic,ENSG00000100644,20.060689683581558,-0.30353401474125724,0.2654236362221593,0.1347997098219587,0.36975489581198395,3091,HIF1A,14,61695513,61748259,1,protein_coding,hypoxia inducible factor 1 alpha subunit [Source:HGNC Symbol;Acc:HGNC:4910],25.11105444599589
Sample.Anaerobic.006.A04,anaerobic,none,group_6,A04,anaerobic,ENSG00000100644,20.060689683581558,-0.30353401474125724,0.2654236362221593,0.1347997098219587,0.36975489581198395,3091,HIF1A,14,61695513,61748259,1,protein_coding,hypoxia inducible factor 1 alpha subunit [Source:HGNC Symbol;Acc:HGNC:4910],9.9975255812478
Sample.Anaerobic.006.A05,anaerobic,none,group_6,A05,anaerobic,ENSG00000100644,20.060689683581558,-0.30353401474125724,0.2654236362221593,0.1347997098219587,0.36975489581198395,3091,HIF1A,14,61695513,61748259,1,protein_coding,hypoxia inducible factor 1 alpha subunit [Source:HGNC Symbol;Acc:HGNC:4910],18.59782839706885
Sample.Anaerobic.006.A06,anaerobic,none,group_6,A06,anaerobic,ENSG00000100644,20.060689683581558,-0.30353401474125724,0.2654236362221593,0.1347997098219587,0.36975489581198395,3091,HIF1A,14,61695513,61748259,1,protein_coding,hypoxia inducible factor 1 alpha subunit [Source:HGNC Symbol;Acc:HGNC:4910],15.390040457050022
Sample.Anaerobic.006.A07,anaerobic,none,group_6,A07,anaerobic,ENSG00000100644,20.060689683581558,-0.30353401474125724,0.2654236362221593,0.1347997098219587,0.36975489581198395,3091,HIF1A,14,61695513,61748259,1,protein_coding,hypoxia inducible factor 1 alpha subunit [Source:HGNC Symbol;Acc:HGNC:4910],19.08961604513533
