SAMPLE_NAME,ATMOSPHERE,CRS,GROUP,QCWELL,TEST,gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,entrez,symbol,chr,start,end,strand,biotype,description,normalized_counts
Sample.Aerobic.005.A01,aerobic,none,group_5,A01,aerobic,ENSG00000167772,15.12335483351273,3.5049218496229972,0.5633284719806146,6.020702661693039e-13,2.2188060103239344e-10,51129,ANGPTL4,19,8363289,8374373,1,protein_coding,angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039],0.9401868079053438
Sample.Aerobic.005.A01,aerobic,none,group_5,A01,aerobic,ENSG00000197249,545.563982365069,1.6841790413800857,0.2524638514474605,1.067873480061476e-13,4.778733823275105e-11,5265,SERPINA1,14,94376747,94390693,-1,protein_coding,serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941],264.1924930214016
Sample.Aerobic.005.A02,aerobic,none,group_5,A02,aerobic,ENSG00000167772,15.12335483351273,3.5049218496229972,0.5633284719806146,6.020702661693039e-13,2.2188060103239344e-10,51129,ANGPTL4,19,8363289,8374373,1,protein_coding,angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039],0
Sample.Aerobic.005.A02,aerobic,none,group_5,A02,aerobic,ENSG00000197249,545.563982365069,1.6841790413800857,0.2524638514474605,1.067873480061476e-13,4.778733823275105e-11,5265,SERPINA1,14,94376747,94390693,-1,protein_coding,serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941],201.19642200588115
Sample.Aerobic.005.A03,aerobic,none,group_5,A03,aerobic,ENSG00000167772,15.12335483351273,3.5049218496229972,0.5633284719806146,6.020702661693039e-13,2.2188060103239344e-10,51129,ANGPTL4,19,8363289,8374373,1,protein_coding,angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039],1.8567747582993512
Sample.Aerobic.005.A03,aerobic,none,group_5,A03,aerobic,ENSG00000197249,545.563982365069,1.6841790413800857,0.2524638514474605,1.067873480061476e-13,4.778733823275105e-11,5265,SERPINA1,14,94376747,94390693,-1,protein_coding,serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941],281.3013758823517
Sample.Aerobic.006.A01,aerobic,none,group_6,A01,aerobic,ENSG00000167772,15.12335483351273,3.5049218496229972,0.5633284719806146,6.020702661693039e-13,2.2188060103239344e-10,51129,ANGPTL4,19,8363289,8374373,1,protein_coding,angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039],3.1923374879540853
Sample.Aerobic.006.A01,aerobic,none,group_6,A01,aerobic,ENSG00000197249,545.563982365069,1.6841790413800857,0.2524638514474605,1.067873480061476e-13,4.778733823275105e-11,5265,SERPINA1,14,94376747,94390693,-1,protein_coding,serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941],196.8608117571686
Sample.Aerobic.006.A02,aerobic,none,group_6,A02,aerobic,ENSG00000167772,15.12335483351273,3.5049218496229972,0.5633284719806146,6.020702661693039e-13,2.2188060103239344e-10,51129,ANGPTL4,19,8363289,8374373,1,protein_coding,angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039],1.8939336747981235
Sample.Aerobic.006.A02,aerobic,none,group_6,A02,aerobic,ENSG00000197249,545.563982365069,1.6841790413800857,0.2524638514474605,1.067873480061476e-13,4.778733823275105e-11,5265,SERPINA1,14,94376747,94390693,-1,protein_coding,serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941],124.99962253667616
