SAMPLE_NAME,ATMOSPHERE,CRS,GROUP,QCWELL,TEST,gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,entrez,symbol,chr,start,end,strand,biotype,description,normalized_counts
Sample.Aerobic.005.A01,aerobic,none,group_5,A01,aerobic,ENSG00000163739,26.441465456725272,-0.9640994347638346,0.40561475601915276,0.0011996271670111302,0.0169532959023299,2919,CXCL1,4,73869393,73871242,1,protein_coding,C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602],22.56448338972825
Sample.Aerobic.005.A01,aerobic,none,group_5,A01,aerobic,ENSG00000109079,6.378063044949757,-0.3625227083812025,0.3663680408532636,0.14900095402361285,0.3892789728765365,7126,TNFAIP1,17,28335602,28347009,1,protein_coding,TNF alpha induced protein 1 [Source:HGNC Symbol;Acc:HGNC:11894],4.700934039526719
Sample.Aerobic.005.A01,aerobic,none,group_5,A01,aerobic,ENSG00000163735,176.27027733994922,-1.105427063352199,0.2091055442423974,8.32309802491697e-9,9.597103966620637e-7,6374,CXCL5,4,73995642,73998779,-1,protein_coding,C-X-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10642],204.96072412336494
Sample.Aerobic.005.A01,aerobic,none,group_5,A01,aerobic,ENSG00000163734,7.677222760705165,-0.3123274397753979,0.3875023858278496,0.218486735873191,0.4814700669171796,2921,CXCL3,4,74036589,74038807,-1,protein_coding,C-X-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:4604],2.820560423716031
Sample.Aerobic.005.A02,aerobic,none,group_5,A02,aerobic,ENSG00000163739,26.441465456725272,-0.9640994347638346,0.40561475601915276,0.0011996271670111302,0.0169532959023299,2919,CXCL1,4,73869393,73871242,1,protein_coding,C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602],17.08271507597104
Sample.Aerobic.005.A02,aerobic,none,group_5,A02,aerobic,ENSG00000109079,6.378063044949757,-0.3625227083812025,0.3663680408532636,0.14900095402361285,0.3892789728765365,7126,TNFAIP1,17,28335602,28347009,1,protein_coding,TNF alpha induced protein 1 [Source:HGNC Symbol;Acc:HGNC:11894],8.54135753798552
Sample.Aerobic.005.A02,aerobic,none,group_5,A02,aerobic,ENSG00000163735,176.27027733994922,-1.105427063352199,0.2091055442423974,8.32309802491697e-9,9.597103966620637e-7,6374,CXCL5,4,73995642,73998779,-1,protein_coding,C-X-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10642],233.46377270493755
Sample.Aerobic.005.A02,aerobic,none,group_5,A02,aerobic,ENSG00000163734,7.677222760705165,-0.3123274397753979,0.3875023858278496,0.218486735873191,0.4814700669171796,2921,CXCL3,4,74036589,74038807,-1,protein_coding,C-X-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:4604],4.745198632214178
Sample.Aerobic.005.A03,aerobic,none,group_5,A03,aerobic,ENSG00000163739,26.441465456725272,-0.9640994347638346,0.40561475601915276,0.0011996271670111302,0.0169532959023299,2919,CXCL1,4,73869393,73871242,1,protein_coding,C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602],16.71097282469416
Sample.Aerobic.005.A03,aerobic,none,group_5,A03,aerobic,ENSG00000109079,6.378063044949757,-0.3625227083812025,0.3663680408532636,0.14900095402361285,0.3892789728765365,7126,TNFAIP1,17,28335602,28347009,1,protein_coding,TNF alpha induced protein 1 [Source:HGNC Symbol;Acc:HGNC:11894],7.427099033197405
Sample.Aerobic.005.A03,aerobic,none,group_5,A03,aerobic,ENSG00000163735,176.27027733994922,-1.105427063352199,0.2091055442423974,8.32309802491697e-9,9.597103966620637e-7,6374,CXCL5,4,73995642,73998779,-1,protein_coding,C-X-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10642],199.60328651718027
Sample.Aerobic.005.A03,aerobic,none,group_5,A03,aerobic,ENSG00000163734,7.677222760705165,-0.3123274397753979,0.3875023858278496,0.218486735873191,0.4814700669171796,2921,CXCL3,4,74036589,74038807,-1,protein_coding,C-X-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:4604],4.641936895748378
Sample.Aerobic.006.A01,aerobic,none,group_6,A01,aerobic,ENSG00000163739,26.441465456725272,-0.9640994347638346,0.40561475601915276,0.0011996271670111302,0.0169532959023299,2919,CXCL1,4,73869393,73871242,1,protein_coding,C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602],26.602812399617378
Sample.Aerobic.006.A01,aerobic,none,group_6,A01,aerobic,ENSG00000109079,6.378063044949757,-0.3625227083812025,0.3663680408532636,0.14900095402361285,0.3892789728765365,7126,TNFAIP1,17,28335602,28347009,1,protein_coding,TNF alpha induced protein 1 [Source:HGNC Symbol;Acc:HGNC:11894],7.4487874718928655
Sample.Aerobic.006.A01,aerobic,none,group_6,A01,aerobic,ENSG00000163735,176.27027733994922,-1.105427063352199,0.2091055442423974,8.32309802491697e-9,9.597103966620637e-7,6374,CXCL5,4,73995642,73998779,-1,protein_coding,C-X-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10642],190.47613678126044
Sample.Aerobic.006.A01,aerobic,none,group_6,A01,aerobic,ENSG00000163734,7.677222760705165,-0.3123274397753979,0.3875023858278496,0.218486735873191,0.4814700669171796,2921,CXCL3,4,74036589,74038807,-1,protein_coding,C-X-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:4604],8.51289996787756
Sample.Aerobic.006.A02,aerobic,none,group_6,A02,aerobic,ENSG00000163739,26.441465456725272,-0.9640994347638346,0.40561475601915276,0.0011996271670111302,0.0169532959023299,2919,CXCL1,4,73869393,73871242,1,protein_coding,C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602],20.833270422779357
Sample.Aerobic.006.A02,aerobic,none,group_6,A02,aerobic,ENSG00000109079,6.378063044949757,-0.3625227083812025,0.3663680408532636,0.14900095402361285,0.3892789728765365,7126,TNFAIP1,17,28335602,28347009,1,protein_coding,TNF alpha induced protein 1 [Source:HGNC Symbol;Acc:HGNC:11894],10.416635211389679
Sample.Aerobic.006.A02,aerobic,none,group_6,A02,aerobic,ENSG00000163735,176.27027733994922,-1.105427063352199,0.2091055442423974,8.32309802491697e-9,9.597103966620637e-7,6374,CXCL5,4,73995642,73998779,-1,protein_coding,C-X-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10642],261.36284712214103
Sample.Aerobic.006.A02,aerobic,none,group_6,A02,aerobic,ENSG00000163734,7.677222760705165,-0.3123274397753979,0.3875023858278496,0.218486735873191,0.4814700669171796,2921,CXCL3,4,74036589,74038807,-1,protein_coding,C-X-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:4604],5.68180102439437
Sample.Anaerobic,anaerobic,unknown,unknown,unknown,anaerobic,ENSG00000163739,26.441465456725272,-0.9640994347638346,0.40561475601915276,0.0011996271670111302,0.0169532959023299,2919,CXCL1,4,73869393,73871242,1,protein_coding,C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602],5.5479629496363385
