SAMPLE_NAME,ATMOSPHERE,CRS,GROUP,QCWELL,TEST,gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,entrez,symbol,chr,start,end,strand,biotype,description,normalized_counts
Sample.Anaerobic,anaerobic,unknown,unknown,unknown,anaerobic,ENSG00000134333,219.41271216008184,-0.03659691239792034,0.10481778363557012,0.09783522848446599,1,3939,LDHA,11,18394388,18408425,1,protein_coding,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535],215.44589454421114
Sample.Anaerobic.006.A03,anaerobic,none,group_6,A03,anaerobic,ENSG00000134333,219.41271216008184,-0.03659691239792034,0.10481778363557012,0.09783522848446599,1,3939,LDHA,11,18394388,18408425,1,protein_coding,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535],292.59837354464776
Sample.Anaerobic.006.A04,anaerobic,none,group_6,A04,anaerobic,ENSG00000134333,219.41271216008184,-0.03659691239792034,0.10481778363557012,0.09783522848446599,1,3939,LDHA,11,18394388,18408425,1,protein_coding,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535],326.2828803334509
Sample.Anaerobic.006.A05,anaerobic,none,group_6,A05,anaerobic,ENSG00000134333,219.41271216008184,-0.03659691239792034,0.10481778363557012,0.09783522848446599,1,3939,LDHA,11,18394388,18408425,1,protein_coding,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535],332.9011283075324
Sample.Anaerobic.006.A06,anaerobic,none,group_6,A06,anaerobic,ENSG00000134333,219.41271216008184,-0.03659691239792034,0.10481778363557012,0.09783522848446599,1,3939,LDHA,11,18394388,18408425,1,protein_coding,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535],267.40195294124413
Sample.Anaerobic.006.A07,anaerobic,none,group_6,A07,anaerobic,ENSG00000134333,219.41271216008184,-0.03659691239792034,0.10481778363557012,0.09783522848446599,1,3939,LDHA,11,18394388,18408425,1,protein_coding,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535],267.2546246318946
Sample.Anaerobic.CRS.005.A07,anaerobic,CRS,group_5,A07,anaerobic_CRS,ENSG00000134333,219.41271216008184,-0.03659691239792034,0.10481778363557012,0.09783522848446599,1,3939,LDHA,11,18394388,18408425,1,protein_coding,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535],185.25298147286517
Sample.Anaerobic.CRS.005.A08,anaerobic,CRS,group_5,A08,anaerobic_CRS,ENSG00000134333,219.41271216008184,-0.03659691239792034,0.10481778363557012,0.09783522848446599,1,3939,LDHA,11,18394388,18408425,1,protein_coding,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535],235.9053437718759
Sample.Anaerobic.CRS.005.A09,anaerobic,CRS,group_5,A09,anaerobic_CRS,ENSG00000134333,219.41271216008184,-0.03659691239792034,0.10481778363557012,0.09783522848446599,1,3939,LDHA,11,18394388,18408425,1,protein_coding,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535],300.17154905312645
Sample.Anaerobic.CRS.006.A08,anaerobic,CRS,group_6,A08,anaerobic_CRS,ENSG00000134333,219.41271216008184,-0.03659691239792034,0.10481778363557012,0.09783522848446599,1,3939,LDHA,11,18394388,18408425,1,protein_coding,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535],244.94687624080797
Sample.Anaerobic.CRS.006.A09,anaerobic,CRS,group_6,A09,anaerobic_CRS,ENSG00000134333,219.41271216008184,-0.03659691239792034,0.10481778363557012,0.09783522848446599,1,3939,LDHA,11,18394388,18408425,1,protein_coding,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535],181.7656420343374
