SAMPLE_NAME,ATMOSPHERE,CRS,GROUP,QCWELL,TEST,gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,entrez,symbol,chr,start,end,strand,biotype,description,normalized_counts
Sample.Aerobic.005.A01,aerobic,none,group_5,A01,aerobic,ENSG00000215182,35.71748275775943,-0.3469072562374486,0.30037176172362234,0.12121634169305881,0.3475608149688849,4586,MUC5AC,11,1157953,1201138,1,protein_coding,"mucin 5AC, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7515]",26.325230621349625
Sample.Aerobic.005.A01,aerobic,none,group_5,A01,aerobic,ENSG00000117983,58.003020286071155,0.388566904411393,0.24544251529540953,0.048244412166599276,0.20505511684107497,727897,MUC5B,11,1223066,1262172,1,protein_coding,"mucin 5B, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7516]",37.60747231621375
Sample.Aerobic.005.A01,aerobic,none,group_5,A01,aerobic,ENSG00000185499,33.703226159140456,0.08507775578937535,0.20522390419155193,0.5964321157806329,0.7982933183987801,4582,MUC1,1,155185824,155192916,-1,protein_coding,"mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]",31.026164660876344
Sample.Aerobic.005.A01,aerobic,none,group_5,A01,aerobic,ENSG00000145113,0.058024211196854726,-0.01565310139552388,0.6011101522034974,0.8723691587653866,NA,4585,MUC4,3,195746765,195812277,-1,protein_coding,"mucin 4, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7514]",0
Sample.Aerobic.005.A01,aerobic,none,group_5,A01,aerobic,ENSG00000169894,5.1107095262891695,-0.7401593093170917,0.46915114311221207,0.013395158992183754,0.09111907826930643,4584,MUC3A,7,100949555,100968346,1,protein_coding,"mucin 3A, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7513]",5.641120847432062
Sample.Aerobic.005.A01,aerobic,none,group_5,A01,aerobic,ENSG00000173702,20.6081882336207,-0.4904523123122577,0.30712347983272364,0.03730804648698067,0.17248514670739998,56667,MUC13,3,124905442,124953819,-1,protein_coding,"mucin 13, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7511]",10.342054886958781
Sample.Aerobic.005.A01,aerobic,none,group_5,A01,aerobic,ENSG00000184956,0.12009869861958711,0.015545961203885305,0.5958246231694685,0.8867960090319313,NA,4588,MUC6,11,1012821,1036706,-1,protein_coding,"mucin 6, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7517]",0
Sample.Aerobic.005.A02,aerobic,none,group_5,A02,aerobic,ENSG00000215182,35.71748275775943,-0.3469072562374486,0.30037176172362234,0.12121634169305881,0.3475608149688849,4586,MUC5AC,11,1157953,1201138,1,protein_coding,"mucin 5AC, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7515]",42.7067876899276
Sample.Aerobic.005.A02,aerobic,none,group_5,A02,aerobic,ENSG00000117983,58.003020286071155,0.388566904411393,0.24544251529540953,0.048244412166599276,0.20505511684107497,727897,MUC5B,11,1223066,1262172,1,protein_coding,"mucin 5B, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7516]",45.55390686925611
Sample.Aerobic.005.A02,aerobic,none,group_5,A02,aerobic,ENSG00000185499,33.703226159140456,0.08507775578937535,0.20522390419155193,0.5964321157806329,0.7982933183987801,4582,MUC1,1,155185824,155192916,-1,protein_coding,"mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]",35.11446987838492
Sample.Aerobic.005.A02,aerobic,none,group_5,A02,aerobic,ENSG00000145113,0.058024211196854726,-0.01565310139552388,0.6011101522034974,0.8723691587653866,NA,4585,MUC4,3,195746765,195812277,-1,protein_coding,"mucin 4, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7514]",0
Sample.Aerobic.005.A02,aerobic,none,group_5,A02,aerobic,ENSG00000169894,5.1107095262891695,-0.7401593093170917,0.46915114311221207,0.013395158992183754,0.09111907826930643,4584,MUC3A,7,100949555,100968346,1,protein_coding,"mucin 3A, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7513]",4.745198632214178
Sample.Aerobic.005.A02,aerobic,none,group_5,A02,aerobic,ENSG00000173702,20.6081882336207,-0.4904523123122577,0.30712347983272364,0.03730804648698067,0.17248514670739998,56667,MUC13,3,124905442,124953819,-1,protein_coding,"mucin 13, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7511]",16.133675349528204
Sample.Aerobic.005.A02,aerobic,none,group_5,A02,aerobic,ENSG00000184956,0.12009869861958711,0.015545961203885305,0.5958246231694685,0.8867960090319313,NA,4588,MUC6,11,1012821,1036706,-1,protein_coding,"mucin 6, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7517]",0
Sample.Aerobic.005.A03,aerobic,none,group_5,A03,aerobic,ENSG00000215182,35.71748275775943,-0.3469072562374486,0.30037176172362234,0.12121634169305881,0.3475608149688849,4586,MUC5AC,11,1157953,1201138,1,protein_coding,"mucin 5AC, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7515]",31.56517089108897
Sample.Aerobic.005.A03,aerobic,none,group_5,A03,aerobic,ENSG00000117983,58.003020286071155,0.388566904411393,0.24544251529540953,0.048244412166599276,0.20505511684107497,727897,MUC5B,11,1223066,1262172,1,protein_coding,"mucin 5B, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7516]",38.992269924286376
Sample.Aerobic.005.A03,aerobic,none,group_5,A03,aerobic,ENSG00000185499,33.703226159140456,0.08507775578937535,0.20522390419155193,0.5964321157806329,0.7982933183987801,4582,MUC1,1,155185824,155192916,-1,protein_coding,"mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]",25.994846616190916
Sample.Aerobic.005.A03,aerobic,none,group_5,A03,aerobic,ENSG00000145113,0.058024211196854726,-0.01565310139552388,0.6011101522034974,0.8723691587653866,NA,4585,MUC4,3,195746765,195812277,-1,protein_coding,"mucin 4, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7514]",0.9283873791496756
Sample.Aerobic.005.A03,aerobic,none,group_5,A03,aerobic,ENSG00000169894,5.1107095262891695,-0.7401593093170917,0.46915114311221207,0.013395158992183754,0.09111907826930643,4584,MUC3A,7,100949555,100968346,1,protein_coding,"mucin 3A, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7513]",4.641936895748378
Sample.Aerobic.005.A03,aerobic,none,group_5,A03,aerobic,ENSG00000173702,20.6081882336207,-0.4904523123122577,0.30712347983272364,0.03730804648698067,0.17248514670739998,56667,MUC13,3,124905442,124953819,-1,protein_coding,"mucin 13, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7511]",20.424522341292864
Sample.Aerobic.005.A03,aerobic,none,group_5,A03,aerobic,ENSG00000184956,0.12009869861958711,0.015545961203885305,0.5958246231694685,0.8867960090319313,NA,4588,MUC6,11,1012821,1036706,-1,protein_coding,"mucin 6, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7517]",0
Sample.Aerobic.006.A01,aerobic,none,group_6,A01,aerobic,ENSG00000215182,35.71748275775943,-0.3469072562374486,0.30037176172362234,0.12121634169305881,0.3475608149688849,4586,MUC5AC,11,1157953,1201138,1,protein_coding,"mucin 5AC, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7515]",32.987487375525546
Sample.Aerobic.006.A01,aerobic,none,group_6,A01,aerobic,ENSG00000117983,58.003020286071155,0.388566904411393,0.24544251529540953,0.048244412166599276,0.20505511684107497,727897,MUC5B,11,1223066,1262172,1,protein_coding,"mucin 5B, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7516]",26.602812399617378
Sample.Aerobic.006.A01,aerobic,none,group_6,A01,aerobic,ENSG00000185499,33.703226159140456,0.08507775578937535,0.20522390419155193,0.5964321157806329,0.7982933183987801,4582,MUC1,1,155185824,155192916,-1,protein_coding,"mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]",44.6927248313572
Sample.Aerobic.006.A01,aerobic,none,group_6,A01,aerobic,ENSG00000145113,0.058024211196854726,-0.01565310139552388,0.6011101522034974,0.8723691587653866,NA,4585,MUC4,3,195746765,195812277,-1,protein_coding,"mucin 4, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7514]",0
Sample.Aerobic.006.A01,aerobic,none,group_6,A01,aerobic,ENSG00000169894,5.1107095262891695,-0.7401593093170917,0.46915114311221207,0.013395158992183754,0.09111907826930643,4584,MUC3A,7,100949555,100968346,1,protein_coding,"mucin 3A, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7513]",4.25644998393878
Sample.Aerobic.006.A01,aerobic,none,group_6,A01,aerobic,ENSG00000173702,20.6081882336207,-0.4904523123122577,0.30712347983272364,0.03730804648698067,0.17248514670739998,56667,MUC13,3,124905442,124953819,-1,protein_coding,"mucin 13, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7511]",31.923374879540855
Sample.Aerobic.006.A01,aerobic,none,group_6,A01,aerobic,ENSG00000184956,0.12009869861958711,0.015545961203885305,0.5958246231694685,0.8867960090319313,NA,4588,MUC6,11,1012821,1036706,-1,protein_coding,"mucin 6, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7517]",0
Sample.Aerobic.006.A02,aerobic,none,group_6,A02,aerobic,ENSG00000215182,35.71748275775943,-0.3469072562374486,0.30037176172362234,0.12121634169305881,0.3475608149688849,4586,MUC5AC,11,1157953,1201138,1,protein_coding,"mucin 5AC, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7515]",89.0148827155118
Sample.Aerobic.006.A02,aerobic,none,group_6,A02,aerobic,ENSG00000117983,58.003020286071155,0.388566904411393,0.24544251529540953,0.048244412166599276,0.20505511684107497,727897,MUC5B,11,1223066,1262172,1,protein_coding,"mucin 5B, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7516]",89.96184955291086
Sample.Aerobic.006.A02,aerobic,none,group_6,A02,aerobic,ENSG00000185499,33.703226159140456,0.08507775578937535,0.20522390419155193,0.5964321157806329,0.7982933183987801,4582,MUC1,1,155185824,155192916,-1,protein_coding,"mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]",30.302938796769975
Sample.Aerobic.006.A02,aerobic,none,group_6,A02,aerobic,ENSG00000145113,0.058024211196854726,-0.01565310139552388,0.6011101522034974,0.8723691587653866,NA,4585,MUC4,3,195746765,195812277,-1,protein_coding,"mucin 4, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7514]",0
